Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000884042011461788,-2.68522483504429E-07,0.0227074694415587,0,0,0,0.120126872366986,0.000162859007223856,-5.6707451806411E-10,-4.94108087729578E-06,0.000172859696623732,-2.81101318593247E-10,0.000260325317952799,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,,BaseT-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder,0.00137847335109012,0.0156184793547242,-0.00728640518089488,0,0,0,0.0771455988127503,5.28416792913944E-05,-5.74251896080356E-06,1.25534173013257E-06,6.51004667370908E-05,7.82255942304313E-06,6.27383799941438E-05,0,0,0,0,0,0,package://URDF/meshes/shoulder.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/shoulder.STL,,WaistT-1,Origin_shoulder2,Axis_shoulder2,shoulder,revolute,0,0,0.057,1.5708,0,1.1754,base_link,0,1,0,3,3,-1.5707,1.5707,,,,,,,,
elbow,8.33915294182726E-05,0.0596540948617726,-0.000712431979583381,0,0,0,0.0888458236237444,0.000135296929157603,5.84218470195738E-07,-3.18730655432891E-08,1.3267817635665E-05,1.34122198729035E-07,0.000141437268447452,0,0,0,0,0,0,package://URDF/meshes/elbow.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/elbow.STL,,Arm1-1,Origin_elbow2,Axis_elbow2,elbow,revolute,0.011458,0.037477,0,3.1416,0,3.0995,shoulder,0,0,1,3,3,-1.5707,1.5707,,,,,,,,
rest,-0.000117177420813491,-0.0408715532218013,0.015152337193664,0,0,0,0.0841589044535185,9.38358578901634E-05,-5.17709619524144E-07,-9.03519792732391E-08,1.9431231755649E-05,-8.42349600705436E-07,0.000103998346950382,0,0,0,0,0,0,package://URDF/meshes/rest.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/rest.STL,,Arm2-1,Origin_rest2,Axis_rest,wrist,revolute,0,0.12,0,0,0,-1.6128,elbow,0,0,1,3,3,-1.5707,1.5707,,,,,,,,
rolling,0.00502760760291043,0.0109445217827496,-0.00535441479370665,0,0,0,0.0205470147246711,4.87359314188565E-06,9.22778160473993E-09,-3.03731226440699E-09,3.3382572720661E-06,7.36592017982319E-07,6.17663535687526E-06,0,0,0,0,0,0,package://URDF/meshes/rolling.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/rolling.STL,,L-2,Origin_rolling2,Axis_rolling,rolling,revolute,0.0055,-0.099677,0.0145,0,0,-3.1416,rest,0,1,0,3,3,-1.5707,1.5707,,,,,,,,
pitch,-0.0116105304119787,-0.023613452107438,0.00616457125803832,0,0,0,0.0215001123670908,9.88043259690671E-06,2.05975136147418E-06,-5.1726660151017E-07,3.58978413116279E-06,1.92461514332315E-06,1.10546290579735E-05,0,0,0,0,0,0,package://URDF/meshes/pitch.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/pitch.STL,,Gripper _base-2,Origin_pitch2,Axis_pitch,pitch,revolute,0.00500000000000003,0.0226770569861576,0,2.47905368074654,-1.57079630572147,0.76162796200405,rolling,1,0,0,3,3,-1.5707,1.5707,,,,,,,,
gripper,0.00568899451062876,0.000685064865752177,-0.00200000000000133,0,0,0,0.00259243385468487,9.23560775428683E-08,9.84193522417756E-09,4.98385162042722E-22,3.50553215344432E-07,5.90796371937889E-23,4.35996135941474E-07,0,0,0,0,0,0,package://URDF/meshes/gripper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/gripper.STL,,Gear_2-1,Origin_gripper2,Axis_gripper2,gripper,revolute,0.0039101,-0.037783,0.0145,3.1416,0,-1.0597,pitch,0,0,1,3,3,-1.5707,1.5707,,,,,,,,
hand1,-0.0259511214514078,0.00395106521630019,0.00249999999999792,0,0,0,0.00304957364089639,7.64979191048675E-08,1.79084335338181E-07,-7.92722325841081E-22,8.51913197582181E-07,1.76140696834782E-22,9.1570455984998E-07,0,0,0,0,0,0,package://URDF/meshes/hand1.STL,0,0,0,1,0,0,0,0,0,0,package://URDF/meshes/hand1.STL,,Gripper1-1,Origin_hand12,,hand1,fixed,0.0305,0,0,0,0,-2.2812,gripper,0,0,0,,,,,,,,,,,,
follower-gear,0.00559728875614893,0.000674021719269072,0.00200000000000211,0,0,0,0.0026349081873614,9.24502678557936E-08,9.6790671490699E-09,-4.05007433684965E-22,3.5284040626968E-07,1.89407105033429E-22,4.3826425229251E-07,0,0,0,0,0,0,package://URDF/meshes/follower-gear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/follower-gear.STL,,Gear_1-1,Origin_follower-gear2,Axis_follower-gear2,follower-gear,revolute,-0.023005,-0.037784,0.0145,0,0,-2.1964,pitch,0,0,1,3,3,-1.5707,1.5707,,,,,,,,
hand2,-0.0259511214503139,0.00395106521859902,0.00250000000000208,0,0,0,0.00304957364089639,7.64979191088991E-08,1.79084335346909E-07,9.15946215415795E-22,8.51913197578148E-07,-2.22753219100067E-22,9.15704559849979E-07,0,0,0,0,0,0,package://URDF/meshes/hand2.STL,0,0,0,1,0,0,0,0,0,0,package://URDF/meshes/hand2.STL,,Gripper2-1,Origin_hand22,,hand2,fixed,0.0305,0,-0.005,0,0,-2.1872,follower-gear,0,0,0,0,0,-1.5707,1.5707,,,,,,,,
link1,0.0420511056348878,0.00437046116424403,-0.00699999999999787,0,0,0,0.000798763302631051,3.63251111777044E-09,2.34712498811922E-23,-1.15525183875645E-22,1.02921795976216E-07,5.64449013861333E-25,1.04424271620304E-07,0,0,0,0,0,0,package://URDF/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/link1.STL,,Link2-1,Origin_link12,Axis_link12,link1,fixed,-0.023005,-0.037784,0.0145,0,0,-1.0009,pitch,0,0,0,3,3,-1.5707,1.5707,,,,,,,,
link2,0.0155,-1.38777878078145E-17,0.002,0,0,0,0.000798763302631051,3.63251111777041E-09,-6.36929071665831E-23,-1.07050449194073E-22,1.02921795976216E-07,-3.84560992318712E-25,1.04424271620304E-07,0,0,0,0,0,0,package://URDF/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/link2.STL,,Link1-1,Origin_link22,Axis_link22,link2,fixed,-0.015,-0.057781,0.0055,0,0,-2.2374,pitch,0,0,0,3,3,-1.5707,1.5707,,,,,,,,
